Floor Size(SQFT),Number of Rooms,Number of Bathroom,Cluster Label,Amount(BDT)
650,2,2,6,11000
1825,3,3,2,45000
1700,3,3,2,25000
3000,5,3,2,102000
900,2,2,2,20000
2100,4,4,0,45000
1700,3,3,6,25000
900,2,2,3,15000
1250,3,3,7,24000
2150,3,4,2,60000
1700,3,3,4,30000
2200,3,4,2,70000
2200,3,4,2,60000
2200,3,4,2,70000
550,2,1,5,9000
2150,3,3,1,62000
2600,4,4,1,80000
900,2,2,6,14000
1443,3,3,9,18000
750,2,2,9,16000
2150,4,4,0,40000
2300,4,4,4,55000
2300,3,3,3,100000
1150,3,3,3,28000
2300,3,4,2,60000
2004,3,4,2,80000
1180,3,3,5,20000
1300,3,3,4,22000
2500,4,4,1,205000
1000,3,3,0,21000
900,2,2,2,18200
1860,3,4,2,55000
1250,3,3,6,25000
1700,3,4,5,30000
1000,3,2,5,16000
2200,3,4,1,85000
3000,4,4,1,65000
3950,4,4,1,107000
4000,5,6,5,60000
300,1,1,9,9000
5500,4,5,3,106000
2410,3,4,8,80000
1050,3,2,9,18000
2146,3,4,2,55000
2520,4,5,4,67500
2165,3,4,2,65000
1676,3,3,2,35000
800,2,2,9,15000
1500,3,3,4,35000
1500,3,3,4,35000
2100,3,4,2,30000
1050,3,2,7,23000
1775,4,3,3,45000
1200,3,3,0,22000
2500,4,4,1,205000
1500,4,3,2,40000
1250,3,3,3,30000
1250,3,3,9,18000
1550,3,3,4,25000
1350,3,3,9,21000
450,1,1,9,9000
3000,5,3,2,102000
3000,5,3,2,102000
1600,3,4,3,34000
1888,3,4,4,50000
1888,3,4,4,50000
2500,3,4,4,40000
1250,3,3,7,22500
3400,4,4,8,200000
950,2,2,2,20000
1500,3,3,4,35000
1850,3,4,2,70000
1250,3,3,5,16000
1150,3,3,0,22000
400,1,1,9,10500
1700,4,3,5,23000
1500,3,3,2,35000
1100,3,2,9,16000
1500,3,3,4,35000
2300,3,3,1,90000
1050,3,3,5,14000
900,2,2,5,19000
3200,5,5,1,100000
1500,3,3,4,35000
975,2,2,3,30000
800,2,2,6,12000
2200,4,5,2,35000
1550,3,4,2,30000
1250,3,3,9,15000
1250,3,3,9,15000
1160,3,3,6,15000
800,2,2,2,10500
2535,3,4,8,100000
1400,4,3,7,22000
1200,3,3,9,22000
1300,3,3,0,28000
1250,3,3,9,15000
1200,3,3,9,18000
800,2,2,9,14000
3200,4,4,1,105000
800,2,2,1,25000
900,2,2,0,13000
1000,3,2,7,20000
1000,3,2,2,18000
1550,3,3,9,30000
4350,5,6,2,101000
1706,3,3,0,28000
1300,3,4,2,28000
2500,4,3,1,205000
1200,3,3,9,19000
1000,3,2,4,16000
750,2,2,5,15000
1500,3,3,2,20000
500,2,1,5,10000
1200,3,3,9,18000
1250,3,3,0,21000
800,2,1,2,17000
1000,3,2,2,20000
1250,3,3,9,22000
800,2,2,2,19000
900,2,2,2,17000
550,2,1,5,10000
4000,4,4,8,108000
1300,3,3,9,25000
1600,3,3,2,30000
1800,3,3,2,80000
1576,3,3,7,40000
1150,3,3,6,20000
2500,4,5,4,65000
3000,4,3,8,200000
2850,4,4,8,104000
700,2,1,2,15000
1500,3,3,6,20000
1100,3,3,6,17000
800,2,2,2,11000
1250,3,3,9,15000
2500,4,3,1,205000
2300,3,3,8,105000
1300,2,2,4,50000
1200,3,2,4,20000
900,3,2,6,17000
2300,3,3,8,75000
2500,4,5,1,90000
1000,3,2,6,17000
1100,3,3,6,20000
1545,3,3,0,25000
3000,5,5,4,55000
1500,3,3,4,52500
1000,3,2,6,17000
2175,3,4,4,50000
1545,3,3,0,25000
1800,3,4,2,42000
1650,3,4,1,60000
2600,4,4,1,102000
2977,3,3,8,201000
2000,3,4,2,35000
1500,3,3,2,21000
2100,4,4,2,60000
1100,3,3,2,30000
3098,3,3,8,108000
2580,4,4,8,104000
950,3,2,6,17000
800,2,2,9,18000
1875,3,4,2,45000
1500,3,4,2,22000
1500,3,3,2,35000
850,2,2,9,15000
1700,3,3,2,25000
1700,3,3,2,25000
1700,3,3,2,25000
1700,3,3,2,25000
1700,3,3,2,25000
1180,3,3,6,21000
1180,3,3,6,21000
900,2,2,9,20000
1100,3,2,9,17000
2500,3,4,2,75000
850,3,2,0,15000
850,3,2,0,15000
1450,3,4,2,32000
650,2,2,0,11500
1150,3,2,9,16000
600,1,1,7,14000
850,2,2,9,16000
1200,3,3,7,35000
1250,3,3,4,30000
650,2,2,0,12000
1275,3,3,5,28000
820,2,2,6,10000
2200,3,4,8,102000
4200,4,4,8,205000
1000,2,2,9,15000
1200,3,3,6,18000
600,2,2,6,10000
1500,3,3,4,52500
1500,3,3,4,30000
1400,3,3,2,30000
2410,3,5,8,80000
1500,3,3,4,21000
1850,4,4,2,50000
1800,3,3,2,30000
1245,3,3,6,20000
1300,3,3,6,20000
1390,3,3,6,17000
1550,3,3,9,30000
700,2,2,9,15000
900,2,2,2,18000
900,2,2,2,17000
900,2,2,2,18000
750,2,2,9,14000
3515,4,4,8,207000
1200,3,3,0,18000
900,2,2,0,26000
1100,2,2,0,27000
1921,3,3,8,104000
1400,3,4,8,75000
2150,4,5,4,52500
1170,3,3,1,22000
1800,3,4,3,42000
3000,4,5,8,205000
1806,3,3,4,35000
1200,3,3,1,60000
900,2,2,2,20000
2800,3,4,1,104000
900,2,2,2,20000
900,2,2,2,16000
850,2,2,2,18000
3500,4,4,1,100000
1850,3,4,1,50000
2200,3,4,0,45000
900,2,2,7,20000
2200,3,3,1,70000
1100,3,3,2,26000
1650,3,4,4,33000
2000,3,3,3,65000
1100,3,2,6,15000
1500,3,3,4,52500
2700,3,4,4,60000
2000,3,3,4,35000
2153,3,3,2,50000
1600,3,3,2,35000
800,2,2,6,13000
600,2,1,5,10500
800,2,2,8,16000
1700,3,4,3,50000
1200,3,3,9,18000
1000,2,2,7,19000
1200,3,3,6,18000
1300,3,4,7,45000
1200,3,3,9,20000
2250,3,3,8,105000
1250,3,3,6,18000
3200,4,4,8,165000
1450,3,3,2,50000
1500,3,3,4,26000
620,2,1,6,10000
1320,3,3,9,18500
950,2,2,6,12500
2032,3,3,8,101000
