Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.79512,90.367211,"1,100",3,2,15000
1,23.795805,90.414203,"2,800",4,4,205000
1,23.795805,90.414203,"3,000",3,4,105000
1,23.74691,90.398656,"1,900",3,3,45000
1,23.767656,90.35055,720,2,2,15000
1,23.811241,90.433627,"1,350",3,3,30000
1,23.811952,90.371989,"1,200",3,3,25000
1,23.803256,90.419844,"2,300",3,3,102000
1,23.801172,90.347604,"1,350",3,3,16000
1,23.811952,90.371989,"1,250",3,3,25000
1,23.764181,90.441226,"1,500",3,3,21000
1,23.837387,90.369139,"1,150",3,3,25000
1,23.792118,90.350108,"1,100",3,3,17000
1,23.871732,90.397145,"1,980",3,3,65000
1,23.768658,90.35846,"1,260",3,4,25000
1,23.866179409909,90.398411367983,"1,494",3,3,25000
1,23.876277,90.387987,900,2,2,22000
1,23.755396,90.40844,550,2,2,13000
1,23.874777,90.388188,900,2,2,19000
1,23.759973,90.355149,750,2,2,13000
1,23.71755,90.416873,"1,730",3,3,35000
1,23.866179409909,90.398411367983,"1,890",3,3,38000
1,23.834913,90.418402,"1,600",3,3,60000
1,23.815914,90.432902,"2,175",3,4,50000
1,23.794036,90.383094,850,2,2,14000
1,23.815914,90.432902,"2,175",3,3,50000
1,23.797748,90.38279,"1,250",3,3,17000
1,23.764742,90.41622,"1,600",3,4,45000
1,23.754982,90.366631,850,2,2,20000
1,23.748156,90.373361,"7,500",5,6,305000
1,23.801189,90.371518,"1,100",3,3,19000
1,23.801189,90.371518,"1,100",3,3,18000
1,23.828046,90.362106,700,2,2,15000
1,23.795805,90.414203,"2,200",3,3,80000
1,23.795805,90.414203,"4,200",3,4,207000
1,23.883581,90.389312,"1,400",3,3,25000
1,23.803256,90.419844,"5,500",4,5,305000
1,23.752747,90.433405,900,2,2,13500
1,23.824158,90.371518,600,2,1,12000
1,23.820661,90.433234,"3,000",4,4,60000
1,23.818255,90.369541,650,2,2,11000
1,23.79512,90.367211,600,2,2,8000
1,23.740166,90.375991,"1,930",3,3,55000
1,23.797748,90.38279,850,2,2,14000
1,23.866179409909,90.398411367983,"2,500",3,3,45000
1,23.772133,90.356001,"1,200",3,3,20000
1,23.810879,90.428081,"1,450",3,3,102000
1,23.773966,90.352715,"1,200",3,3,16000
1,23.812843,90.413741,"1,250",3,3,45000
1,23.733314,90.406432,"1,706",4,4,40000
1,23.759029,90.365737,"2,700",3,4,60000
1,23.754995,90.362028,700,2,2,15000
1,23.753971,90.357846,"1,500",3,3,25000
1,23.876277,90.387987,"1,000",3,3,45000
1,23.761956,90.391963,750,2,2,23000
1,23.781236,90.358764,"1,372",3,3,18000
1,23.747937,90.41791,500,2,1,14000
1,23.754995,90.362028,750,2,2,15000
1,23.795805,90.414203,"2,500",3,3,102000
1,23.764181,90.441226,"1,300",3,3,17000
1,23.865458,90.390566,"1,050",2,2,20000
1,23.801312,90.422618,"4,200",4,4,400000
1,23.801312,90.422618,"4,200",4,4,305000
1,23.866179409909,90.398411367983,"1,950",3,4,50000
1,23.763938,90.351616,700,2,2,13000
1,23.769061,90.44949,"1,700",3,3,52500
1,23.764181,90.441226,650,2,2,14000
1,23.815914,90.432902,"2,400",4,4,75000
1,23.877235,90.397145,"1,100",3,2,21000
1,23.753028,90.385889,"1,750",3,4,33000
1,23.782145,90.415916,"5,800",5,5,206000
1,23.871732,90.397145,"1,400",3,3,50000
1,23.834913,90.418402,"1,600",3,3,60000
1,23.824614,90.432913,"2,100",4,4,36000
1,23.74691,90.398656,"1,500",3,3,30000
1,23.811821,90.364284,650,2,2,11000
1,23.755396,90.40844,850,2,2,18000
1,23.799176,90.422259,"3,400",4,4,108000
1,23.731675,90.412525,"1,000",2,2,25000
1,23.741795,90.408409,"1,390",3,3,28000
1,23.782146,90.423114,"1,250",3,3,19000
1,23.781236,90.358764,"1,145",3,2,16000
1,23.750191,90.365664,800,2,2,15000
1,23.874777,90.388188,900,2,2,19000
1,23.795805,90.414203,"2,250",3,4,100000
1,23.872612,90.387723,900,2,2,20000
1,23.755751,90.366149,"2,500",3,3,80000
1,23.883581,90.389312,"2,150",3,3,35000
1,23.763598,90.363128,800,2,2,20000
1,23.772133,90.356001,800,2,2,17500
1,23.871732,90.397145,"1,850",3,3,45000
1,23.799176,90.422259,"4,700",4,5,300000
1,23.822886,90.444809,"1,200",3,3,20000
1,23.798048,90.367562,"1,400",3,3,20000
1,23.751083,90.380301,"2,500",3,3,30000
1,23.834913,90.418402,"1,000",2,2,30000
1,23.813987,90.427867,"1,950",3,4,35000
1,23.815914,90.432902,"2,175",3,4,50000
1,23.815914,90.432902,"2,175",3,4,50000
1,23.799695,90.42084,"2,700",3,3,101000
1,23.752272,90.425685,550,2,1,11000
1,23.828046,90.362106,"1,200",3,3,21300
1,23.815914,90.432902,"2,450",4,4,45000
1,23.872612,90.387723,850,2,2,20000
1,23.795805,90.414203,"2,020",3,3,60000
1,23.870317,90.385814,"1,200",2,2,100000
1,23.824106,90.418708,"6,500",4,5,300000
1,23.871732,90.397145,"2,800",4,5,70000
1,23.826752,90.438958,"2,350",3,4,45000
