Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.752747,90.433405,900,2,2,13500
1,23.824158,90.371518,600,2,1,12000
1,23.820661,90.433234,3000,4,4,60000
1,23.818255,90.369541,650,2,2,11000
1,23.79512,90.367211,600,2,2,8000
1,23.740166,90.375991,1930,3,3,55000
1,23.797748,90.38279,850,2,2,14000
1,23.866179409909,90.398411367983,2500,3,3,45000
1,23.772133,90.356001,1200,3,3,20000
1,23.810879,90.428081,1450,3,3,102000
1,23.773966,90.352715,1200,3,3,16000
1,23.812843,90.413741,1250,3,3,45000
1,23.733314,90.406432,1706,4,4,40000
1,23.759029,90.365737,2700,3,4,60000
1,23.754995,90.362028,700,2,2,15000
1,23.753971,90.357846,1500,3,3,25000
1,23.876277,90.387987,1000,3,3,45000
1,23.761956,90.391963,750,2,2,23000
1,23.781236,90.358764,1372,3,3,18000
1,23.747937,90.41791,500,2,1,14000
1,23.754995,90.362028,750,2,2,15000
1,23.795805,90.414203,2500,3,3,102000
1,23.764181,90.441226,1300,3,3,17000
1,23.865458,90.390566,1050,2,2,20000
1,23.801312,90.422618,4200,4,4,400000
1,23.801312,90.422618,4200,4,4,305000
1,23.866179409909,90.398411367983,1950,3,4,50000
1,23.763938,90.351616,700,2,2,13000
1,23.769061,90.44949,1700,3,3,52500
1,23.764181,90.441226,650,2,2,14000
1,23.815914,90.432902,2400,4,4,75000
1,23.877235,90.397145,1100,3,2,21000
1,23.753028,90.385889,1750,3,4,33000
1,23.782145,90.415916,5800,5,5,206000
1,23.871732,90.397145,1400,3,3,50000
1,23.834913,90.418402,1600,3,3,60000
1,23.824614,90.432913,2100,4,4,36000
1,23.74691,90.398656,1500,3,3,30000
1,23.811821,90.364284,650,2,2,11000
1,23.755396,90.40844,850,2,2,18000
1,23.799176,90.422259,3400,4,4,108000
1,23.731675,90.412525,1000,2,2,25000
1,23.741795,90.408409,1390,3,3,28000
1,23.782146,90.423114,1250,3,3,19000
1,23.781236,90.358764,1145,3,2,16000
1,23.750191,90.365664,800,2,2,15000
1,23.874777,90.388188,900,2,2,19000
1,23.795805,90.414203,2250,3,4,100000
1,23.872612,90.387723,900,2,2,20000
1,23.755751,90.366149,2500,3,3,80000
1,23.883581,90.389312,2150,3,3,35000
1,23.763598,90.363128,800,2,2,20000
1,23.772133,90.356001,800,2,2,17500
1,23.871732,90.397145,1850,3,3,45000
1,23.799176,90.422259,4700,4,5,300000
1,23.822886,90.444809,1200,3,3,20000
1,23.798048,90.367562,1400,3,3,20000
1,23.751083,90.380301,2500,3,3,30000
1,23.834913,90.418402,1000,2,2,30000
1,23.813987,90.427867,1950,3,4,35000
1,23.815914,90.432902,2175,3,4,50000
1,23.815914,90.432902,2175,3,4,50000
1,23.799695,90.42084,2700,3,3,101000
1,23.752272,90.425685,550,2,1,11000
1,23.828046,90.362106,1200,3,3,21300
1,23.815914,90.432902,2450,4,4,45000
1,23.872612,90.387723,850,2,2,20000
1,23.795805,90.414203,2020,3,3,60000
1,23.870317,90.385814,1200,2,2,100000
1,23.824106,90.418708,6500,4,5,300000
1,23.871732,90.397145,2800,4,5,70000
1,23.826752,90.438958,2350,3,4,45000
1,23.789911,90.358764,980,3,3,13000
1,23.866179409909,90.398411367983,1800,3,3,37000
1,23.782146,90.423114,1250,3,3,30000
1,23.798814,90.372445,1000,2,2,15000
1,23.798814,90.372445,650,2,2,12000
1,23.782145,90.415916,3000,3,4,104000
1,23.750191,90.365664,1700,3,4,50000
1,23.750191,90.365664,1700,3,4,50000
1,23.750191,90.365664,1700,3,4,50000
1,23.750191,90.365664,1700,3,4,50000
1,23.863289,90.403481,900,2,2,23000
